Date,East Midlands ,East of England,EOE_Index,London,North East,North East,South East,South West,West Midlands,Yorkshire and The Humber,Northern Ireland,Scotland ,Wales
01/01/2017,0,0,5,0,0,0,0,0,0,0,0,0,0
01/02/2017,0,0,4,0,0,0,0,0,0,0,0,0,0
01/03/2017,0,0,3,0,0,0,0,0,0,0,0,0,0
01/04/2017,8455,10795,4,12180,4820,14530,13670,9420,11135,10860,0,45,360
01/05/2017,9640,12055,4,13700,5410,16300,15465,10215,12295,12320,15,45,405
01/06/2017,9365,11970,3,13265,5645,16345,15300,10155,12200,12310,10,35,410
01/07/2017,9320,11725,3,13150,5425,16450,14910,10020,11935,11985,20,80,405
01/08/2017,9120,11835,3,13230,5345,15910,14905,10005,11945,11690,0,45,390
01/09/2017,9195,11995,3,13490,5475,16705,14995,10225,12220,11700,10,45,400
01/10/2017,9705,12535,3,13920,5540,17475,15870,10810,12655,12330,0,50,415
01/11/2017,9765,12750,4,14290,5780,17385,15835,10675,12520,12530,0,30,375
01/12/2017,8685,11350,5,12795,5070,15340,14220,9635,11210,11040,0,40,345
01/01/2018,9650,12605,3,14445,5755,16740,15625,10740,12745,11975,15,40,370
01/02/2018,8595,11245,5,13275,5230,15390,14350,9895,11615,10800,0,25,365
01/03/2018,8965,12440,3,14165,5895,16495,15540,10345,12665,11475,0,30,405
01/04/2018,9000,12125,4,14100,5430,16085,15325,10250,12500,11100,0,35,385
01/05/2018,9790,12790,5,15060,5810,17290,16360,11015,13550,12110,20,40,435
01/06/2018,9270,12740,5,14500,5545,17065,16055,10650,13105,11455,10,30,435
01/07/2018,9605,13045,4,15010,6115,17280,16460,10945,13530,11980,10,60,440
01/08/2018,9445,12550,3,14105,5690,16990,15855,10695,13560,11675,10,50,450
01/09/2018,9400,12260,3,14525,5735,17035,16025,10335,13685,11425,0,30,440
01/10/2018,10475,13650,3,15950,6270,18060,17310,12105,15240,12605,10,35,440
01/11/2018,10080,13595,3,15960,6210,17935,17215,11345,14810,12165,15,25,485
01/12/2018,9260,12125,3,14800,5580,15985,15215,10310,13615,11100,0,25,435
