Date,Region,Asthma Cases ,Roadside NitrogenDioxide,Background NitrogenDioxide,Roadside PM10,Background PM10,Roadside PM2.5,Background PM2.5
01/01/2017,London ,12330,32,52,27,36,19,28
01/02/2017,London,12330,24,44,23,26,18,21
01/03/2017,London,12330,28,38,19,20,12,16
01/04/2017,London,12180,26,37,20,20,11,15
01/05/2017,London,13700,22,28,18,23,11,16
01/06/2017,London,13265,18,25,14,18,9,14
01/07/2017,London,13150,15,25,13,14,8,11
01/08/2017,London,13230,19,30,13,16,8,12
01/09/2017,London,13490,22,32,16,17,11,15
01/10/2017,London,13920,22,35,15,16,9,14
01/11/2017,London,14290,35,46,21,19,13,16
01/12/2017,London,12795,32,45,15,15,11,13
01/01/2018,London,14445,25,41,17,18,11,10
01/02/2018,London,13275,27,41,18,22,10,12
01/03/2018,London,14165,27,37,24,25,16,14
01/04/2018,London,14100,23,33,20,24,12,14
01/05/2018,London,15060,24,31,24,27,14,15
01/06/2018,London,14500,13,25,17,19,10,9
01/07/2018,London,15010,18,27,16,21,8,10
01/08/2018,London,14105,17,27,12,15,5,8
01/09/2018,London,14525,22,33,13,17,6,8
01/10/2018,London,15950,26,35,18,18,7,9
01/11/2018,London,15960,27,34,18,19,13,14
01/12/2018,London,14800,26,43,19,19,9,11
