Date,London,London,London,London,London
01/01/2017,12330,12330,12330,12330,12330
01/02/2017,12330,12330,12330,12330,12330
01/03/2017,12330,12330,12330,12330,12330
01/04/2017,12180,12180,12180,12180,12180
01/05/2017,13700,13700,13700,13700,13700
01/06/2017,13265,13265,13265,13265,13265
01/07/2017,13150,13150,13150,13150,13150
01/08/2017,13230,13230,13230,13230,13230
01/09/2017,13490,13490,13490,13490,13490
01/10/2017,13920,13920,13920,13920,13920
01/11/2017,14290,14290,14290,14290,14290
01/12/2017,12795,12795,12795,12795,12795
01/01/2018,14445,14445,14445,14445,14445
01/02/2018,13275,13275,13275,13275,13275
01/03/2018,14165,14165,14165,14165,14165
01/04/2018,14100,14100,14100,14100,14100
01/05/2018,15060,15060,15060,15060,15060
01/06/2018,14500,14500,14500,14500,14500
01/07/2018,15010,15010,15010,15010,15010
01/08/2018,14105,14105,14105,14105,14105
01/09/2018,14525,14525,14525,14525,14525
01/10/2018,15950,15950,15950,15950,15950
01/11/2018,15960,15960,15960,15960,15960
01/12/2018,14800,14800,14800,14800,14800
