Date,East Midlands ,East of England,London,North East,North West,South East,South West,West Midlands,Yorkshire and The Humber,Northern Ireland,Scotland,Wales
01/01/2017,27,26,36,15,21,27,26,22,23,26,13,22
01/02/2017,23,21,26,16,17,16,17,22,21,20,14,19
01/03/2017,19,19,20,15,12,14,14,21,20,24,16,19
01/04/2017,20,18,20,10,10,14,14,19,15,22,13,17
01/05/2017,18,18,23,16,14,13,15,20,18,24,16,21
01/06/2017,14,17,18,9,9,12,13,15,12,18,10,23
01/07/2017,13,12,14,10,8,13,11,15,13,15,10,16
01/08/2017,13,16,16,9,7,9,11,14,13,18,10,15
01/09/2017,16,17,17,10,9,11,13,20,14,22,11,17
01/10/2017,15,17,16,8,10,11,15,16,13,22,11,23
01/11/2017,21,21,19,7,11,13,17,23,17,20,14,21
01/12/2017,15,16,15,6,10,10,12,15,12,15,15,15
01/01/2018,17,16,18,10,16,13,16,16,16,15,15,19
01/02/2018,18,16,22,10,14,13,14,22,20,22,17,19
01/03/2018,24,22,25,17,15,15,17,25,26,19,16,17
01/04/2018,20,23,24,16,13,14,17,20,20,17,16,21
01/05/2018,24,27,27,16,17,17,24,25,23,16,17,23
01/06/2018,17,17,19,11,18,11,14,20,16,17,17,22
01/07/2018,16,20,21,10,14,12,15,18,16,13,13,20
01/08/2018,12,13,15,7,8,7,14,14,12,12,10,18
01/09/2018,13,16,17,7,10,9,14,14,13,9,11,19
01/10/2018,18,17,18,10,14,11,13,17,17,13,13,19
01/11/2018,18,21,19,18,19,13,16,20,23,13,11,21
01/12/2018,19,18,19,11,12,11,8,17,19,14,11,18
