Date,East Midlands,East of England,London,North East,North West,South East,South West,West Midlands,Yorkshire and The Humber,Northern Ireland,Scotland,Wales
01/01/2017,19,21,28,14,15,23,12,17,17,14,9,18
01/02/2017,18,18,21,13,11,19,13,15,13,10,10,16
01/03/2017,12,12,16,11,9,15,10,11,11,11,9,14
01/04/2017,11,12,15,6,7,14,9,12,9,9,6,14
01/05/2017,11,11,16,9,9,13,11,11,11,11,10,17
01/06/2017,9,9,14,6,5,11,9,9,7,4,7,15
01/07/2017,8,7,11,5,6,12,8,7,7,5,8,13
01/08/2017,8,8,12,5,5,11,5,7,7,5,5,12
01/09/2017,11,10,15,6,8,11,6,10,10,9,5,15
01/10/2017,9,9,14,3,7,12,8,9,8,8,4,16
01/11/2017,13,18,16,4,10,15,9,12,11,9,4,15
01/12/2017,11,15,13,4,10,12,9,9,8,10,5,10
01/01/2018,11,14,10,6,10,15,8,9,11,12,6,12
01/02/2018,10,12,12,6,11,14,10,9,12,10,6,12
01/03/2018,16,15,14,10,12,18,9,10,15,10,7,10
01/04/2018,12,17,14,10,10,21,12,11,13,11,7,13
01/05/2018,14,19,15,12,14,24,15,15,14,12,8,18
01/06/2018,10,9,9,8,14,14,12,10,11,12,8,17
01/07/2018,8,11,10,8,13,15,9,9,10,7,7,16
01/08/2018,5,7,8,5,9,10,6,5,7,6,4,15
01/09/2018,6,8,8,6,8,12,8,6,7,5,4,13
01/10/2018,7,10,9,8,8,11,10,7,9,8,5,12
01/11/2018,13,13,14,15,12,17,11,12,17,12,7,10
01/12/2018,9,10,11,12,9,13,11,8,12,14,7,8
